nodes_id	degree	modularity	Zi	Pi
id100	1	5	-0.937277790496255	0
id102	5	5	0.867849806015051	0
id109	5	5	0.867849806015051	0
id114	2	13	1.15470053837925	0
id118	8	6	0.774596669241483	0
id129	6	6	-0.193649167310371	0
id13	4	5	0.416567906887224	0
id130	8	6	0.774596669241483	0
id133	1	6	-2.61426375869001	0
id135	5	3	2.3094010767585	0
id136	3	3	0.577350269189626	0
id137	1	13	-0.577350269189626	0
id143	8	6	0.774596669241483	0
id147	2	3	-0.288675134594813	0
id152	2	3	-0.288675134594813	0
id16	3	14	1.15470053837925	0.444444444444444
id160	2	3	-0.288675134594813	0
id162	12	2	-0.03103464320283	0.611111111111111
id17	4	1	-0.456868310075697	0
id171	1	13	-0.577350269189626	0
id173	6	6	-0.193649167310371	0
id178	5	2	-1.14828179850471	0.48
id18	3	4	0	0.444444444444444
id186	9	2	0.341381075231131	0.37037037037037
id188	3	11	1	0
id189	2	3	-0.288675134594813	0
id19	9	2	0.341381075231131	0.345679012345679
id191	2	3	-0.288675134594813	0
id194	14	2	1.83104394896698	0.357142857142857
id196	3	4	1.17260393995586	0
id201	12	2	1.45862823053301	0.277777777777778
id202	8	15	1.76368905375665	0.53125
id203	8	2	-0.03103464320283	0.375
id206	4	15	0.940634162003545	0
id207	6	7	1.03279555898864	0
id208	3	2	-1.52069751693867	0.444444444444444
id21	3	1	-0.778752801265392	0
id210	3	15	-0.705475621502659	0.444444444444444
id212	1	10	0	0
id216	4	1	-0.456868310075697	0
id217	9	2	-0.03103464320283	0.444444444444444
id218	4	1	-0.456868310075697	0
id219	1	9	-0.866025403784439	0
id22	4	2	-0.775866080070752	0
id222	2	15	-0.705475621502659	0
id223	1	7	-1.11886185557103	0
id226	9	2	-0.403450361636791	0.567901234567901
id228	1	7	-1.11886185557103	0
id231	8	7	0.602464076076709	0.46875
id233	5	4	2.34520787991171	0.32
id237	3	9	0.866025403784439	0.444444444444444
id239	1	14	-0.577350269189626	0
id240	12	7	2.32379000772445	0.402777777777778
id241	8	2	0.341381075231131	0.21875
id242	7	7	0.602464076076709	0.448979591836735
id243	7	7	0.602464076076709	0.408163265306122
id246	10	1	1.15255414587278	0.18
id248	10	1	0.186900672303694	0.48
id249	1	1	-1.42252178364478	0
id250	6	1	-0.456868310075697	0.5
id251	2	4	0	0
id254	3	7	-0.688530372659096	0.444444444444444
id255	6	15	0.117579270250443	0.611111111111111
id256	11	2	0.341381075231131	0.512396694214876
id258	2	15	-0.705475621502659	0
id259	1	1	-1.42252178364478	0
id261	15	1	2.11820761944187	0.346666666666667
id262	4	1	-1.10063729245509	0.625
id264	1	17	0	0
id268	5	7	0.172132593164774	0.32
id269	3	7	-0.258198889747161	0
id27	1	1	-1.42252178364478	0
id273	8	1	0.50878516349339	0.21875
id278	1	16	0	0
id279	5	2	-1.14828179850471	0.56
id28	1	8	-0.577350269189626	0
id283	4	1	-0.778752801265392	0.375
id285	2	4	0	0
id286	15	1	1.47443863706248	0.506666666666667
id287	1	3	-1.15470053837925	0
id289	4	11	0	0.5
id290	2	4	0	0
id291	6	1	-0.456868310075697	0.5
id292	20	1	2.11820761944187	0.515
id294	5	15	-0.705475621502659	0.64
id295	2	4	0	0
id297	2	4	-1.17260393995586	0.5
id298	8	7	0.602464076076709	0.46875
id299	3	1	-0.778752801265392	0
id30	2	8	1.15470053837925	0
id300	1	10	0	0
id301	2	4	0	0
id303	2	12	0.730296743340221	0
id306	6	2	-0.403450361636791	0.277777777777778
id307	8	1	-0.456868310075697	0.5
id308	5	7	0.172132593164774	0.32
id31	1	2	-1.89311323537264	0
id313	1	7	-1.11886185557103	0
id320	12	2	0.713796793665092	0.444444444444444
id321	4	2	-0.775866080070752	0
id322	1	16	0	0
id323	1	5	-0.937277790496255	0
id33	7	1	-0.134983818886001	0.448979591836735
id335	20	2	2.20345966740094	0.565
id336	1	4	-1.17260393995586	0
id337	6	2	-0.403450361636791	0.277777777777778
id338	7	1	-0.456868310075697	0.612244897959184
id342	12	1	0.830669654683085	0.486111111111111
id343	10	2	0.341381075231131	0.42
id35	1	14	-0.577350269189626	0
id350	11	1	1.15255414587278	0.297520661157025
id354	6	6	-0.193649167310371	0
id355	8	1	0.830669654683085	0
id356	2	7	-0.688530372659096	0
id36	1	8	-0.577350269189626	0
id360	1	17	0	0
id364	4	1	-0.778752801265392	0.375
id367	1	11	-1	0
id370	2	12	0.730296743340221	0
id376	1	5	-0.937277790496255	0
id378	9	1	0.50878516349339	0.345679012345679
id38	3	1	-0.778752801265392	0
id384	1	12	-1.09544511501033	0
id385	2	9	0.866025403784439	0
id391	1	12	-1.09544511501033	0
id392	3	12	0.730296743340221	0.444444444444444
id394	7	11	1	0.693877551020408
id395	1	4	-1.17260393995586	0
id397	2	9	-0.866025403784439	0.5
id398	4	11	-1	0.375
id400	1	7	-1.11886185557103	0
id401	13	1	1.47443863706248	0.378698224852071
id42	6	5	1.31913170514288	0
id46	10	5	1.7704136042707	0.46
id50	2	3	-0.288675134594813	0
id52	9	2	-0.03103464320283	0.444444444444444
id53	2	3	-0.288675134594813	0
id58	5	1	-0.134983818886001	0
id64	15	1	-0.134983818886001	0.524444444444444
id65	7	6	0.290473750965556	1.11022302462516e-16
id67	4	3	1.44337567297406	0
id70	4	4	0	0.5
id72	1	3	-1.15470053837925	0
id73	1	5	-0.937277790496255	0
id74	1	5	-0.937277790496255	0
id75	4	5	0.416567906887224	0
id77	17	1	0.50878516349339	0.546712802768166
id78	3	5	-0.0347139922406021	0
id83	6	2	-0.403450361636791	0.277777777777778
id9	13	2	1.08621251209905	0.42603550295858
id96	1	5	-0.937277790496255	0
id97	7	6	0.290473750965556	1.11022302462516e-16
id99	7	6	0.290473750965556	1.11022302462516e-16
