sample	Region	Region_num	Site	Season	Site2	Month	SxR
HKBea1Aug	HK	0	Bea1	Aug	Bea	8	HK_Aug
HKBea1Feb	HK	0	Bea1	Feb	Bea	2	HK_Feb
HKBea1May	HK	0	Bea1	May	Bea	5	HK_May
HKBea1Nov	HK	0	Bea1	Nov	Bea	11	HK_Nov
HKBea2Aug	HK	0	Bea2	Aug	Bea	8	HK_Aug
HKBea2Feb	HK	0	Bea2	Feb	Bea	2	HK_Feb
HKBea2May	HK	0	Bea2	May	Bea	5	HK_May
HKBea2Nov	HK	0	Bea2	Nov	Bea	11	HK_Nov
HKBea3Aug	HK	0	Bea3	Aug	Bea	8	HK_Aug
HKBea3Feb	HK	0	Bea3	Feb	Bea	2	HK_Feb
HKBea3May	HK	0	Bea3	May	Bea	5	HK_May
HKBea3Nov	HK	0	Bea3	Nov	Bea	11	HK_Nov
HKSta1Aug	HK	0	Sta1	Aug	Sta	8	HK_Aug
HKSta1Feb	HK	0	Sta1	Feb	Sta	2	HK_Feb
HKSta1May	HK	0	Sta1	May	Sta	5	HK_May
HKSta1Nov	HK	0	Sta1	Nov	Sta	11	HK_Nov
HKSta2Aug	HK	0	Sta2	Aug	Sta	8	HK_Aug
HKSta2Feb	HK	0	Sta2	Feb	Sta	2	HK_Feb
HKSta2May	HK	0	Sta2	May	Sta	5	HK_May
HKSta2Nov	HK	0	Sta2	Nov	Sta	11	HK_Nov
HKSta3Aug	HK	0	Sta3	Aug	Sta	8	HK_Aug
HKSta3Feb	HK	0	Sta3	Feb	Sta	2	HK_Feb
HKSta3May	HK	0	Sta3	May	Sta	5	HK_May
HKSta3Nov	HK	0	Sta3	Nov	Sta	11	HK_Nov
HKSW1Aug	HK	0	SW1	Aug	SW	8	HK_Aug
HKSW1Feb	HK	0	SW1	Feb	SW	2	HK_Feb
HKSW1May	HK	0	SW1	May	SW	5	HK_May
HKSW1Nov	HK	0	SW1	Nov	SW	11	HK_Nov
HKSW2Aug	HK	0	SW2	Aug	SW	8	HK_Aug
HKSW2Feb	HK	0	SW2	Feb	SW	2	HK_Feb
HKSW2May	HK	0	SW2	May	SW	5	HK_May
HKSW2Nov	HK	0	SW2	Nov	SW	11	HK_Nov
HKSW3Aug	HK	0	SW3	Aug	SW	8	HK_Aug
HKSW3Feb	HK	0	SW3	Feb	SW	2	HK_Feb
HKSW3May	HK	0	SW3	May	SW	5	HK_May
HKSW3Nov	HK	0	SW3	Nov	SW	11	HK_Nov
LTCC1Aug	LT	-1	CC1	Aug	CC	8	LT_Aug
LTCC1Feb	LT	-1	CC1	Feb	CC	2	LT_Feb
LTCC1May	LT	-1	CC1	May	CC	5	LT_May
LTCC1Nov	LT	-1	CC1	Nov	CC	11	LT_Nov
LTCC2Aug	LT	-1	CC2	Aug	CC	8	LT_Aug
LTCC2Feb	LT	-1	CC2	Feb	CC	2	LT_Feb
LTCC2May	LT	-1	CC2	May	CC	5	LT_May
LTCC2Nov	LT	-1	CC2	Nov	CC	11	LT_Nov
LTCC3Aug	LT	-1	CC3	Aug	CC	8	LT_Aug
LTCC3Feb	LT	-1	CC3	Feb	CC	2	LT_Feb
LTCC3May	LT	-1	CC3	May	CC	5	LT_May
LTCC3Nov	LT	-1	CC3	Nov	CC	11	LT_Nov
LTCMW1Aug	LT	-1	CMW1	Aug	CMW	8	LT_Aug
LTCMW1Feb	LT	-1	CMW1	Feb	CMW	2	LT_Feb
LTCMW1May	LT	-1	CMW1	May	CMW	5	LT_May
LTCMW1Nov	LT	-1	CMW1	Nov	CMW	11	LT_Nov
LTCMW2Aug	LT	-1	CMW2	Aug	CMW	8	LT_Aug
LTCMW2Feb	LT	-1	CMW2	Feb	CMW	2	LT_Feb
LTCMW2May	LT	-1	CMW2	May	CMW	5	LT_May
LTCMW2Nov	LT	-1	CMW2	Nov	CMW	11	LT_Nov
LTCMW3Aug	LT	-1	CMW3	Aug	CMW	8	LT_Aug
LTCMW3Feb	LT	-1	CMW3	Feb	CMW	2	LT_Feb
LTCMW3May	LT	-1	CMW3	May	CMW	5	LT_May
LTCMW3Nov	LT	-1	CMW3	Nov	CMW	11	LT_Nov
LTPC1Aug	LT	-1	PC1	Aug	PC	8	LT_Aug
LTPC1Feb	LT	-1	PC1	Feb	PC	2	LT_Feb
LTPC1May	LT	-1	PC1	May	PC	5	LT_May
LTPC1Nov	LT	-1	PC1	Nov	PC	11	LT_Nov
LTPC2Aug	LT	-1	PC2	Aug	PC	8	LT_Aug
LTPC2May	LT	-1	PC2	May	PC	5	LT_May
LTPC2Nov	LT	-1	PC2	Nov	PC	11	LT_Nov
LTPC3Aug	LT	-1	PC3	Aug	PC	8	LT_Aug
LTPC3Feb	LT	-1	PC3	Feb	PC	2	LT_Feb
LTPC3May	LT	-1	PC3	May	PC	5	LT_May
LTPC3Nov	LT	-1	PC3	Nov	PC	11	LT_Nov
SKBlu1Aug	SK	1	Blu1	Aug	Blu	8	SK_Aug
SKBlu1Feb	SK	1	Blu1	Feb	Blu	2	SK_Feb
SKBlu1May	SK	1	Blu1	May	Blu	5	SK_May
SKBlu1Nov	SK	1	Blu1	Nov	Blu	11	SK_Nov
SKBlu2Aug	SK	1	Blu2	Aug	Blu	8	SK_Aug
SKBlu2Feb	SK	1	Blu2	Feb	Blu	2	SK_Feb
SKBlu2May	SK	1	Blu2	May	Blu	5	SK_May
SKBlu2Nov	SK	1	Blu2	Nov	Blu	11	SK_Nov
SKBlu3Aug	SK	1	Blu3	Aug	Blu	8	SK_Aug
SKBlu3Feb	SK	1	Blu3	Feb	Blu	2	SK_Feb
SKBlu3May	SK	1	Blu3	May	Blu	5	SK_May
SKBlu3Nov	SK	1	Blu3	Nov	Blu	11	SK_Nov
SKLKW1Aug	SK	1	LKW1	Aug	LKW	8	SK_Aug
SKLKW1Feb	SK	1	LKW1	Feb	LKW	2	SK_Feb
SKLKW1May	SK	1	LKW1	May	LKW	5	SK_May
SKLKW1Nov	SK	1	LKW1	Nov	LKW	11	SK_Nov
SKLKW2Aug	SK	1	LKW2	Aug	LKW	8	SK_Aug
SKLKW2Feb	SK	1	LKW2	Feb	LKW	2	SK_Feb
SKLKW2May	SK	1	LKW2	May	LKW	5	SK_May
SKLKW2Nov	SK	1	LKW2	Nov	LKW	11	SK_Nov
SKLKW3Aug	SK	1	LKW3	Aug	LKW	8	SK_Aug
SKLKW3Feb	SK	1	LKW3	Feb	LKW	2	SK_Feb
SKLKW3May	SK	1	LKW3	May	LKW	5	SK_May
SKLKW3Nov	SK	1	LKW3	Nov	LKW	11	SK_Nov
SKSha1Aug	SK	1	Sha1	Aug	Sha	8	SK_Aug
SKSha1Feb	SK	1	Sha1	Feb	Sha	2	SK_Feb
SKSha1May	SK	1	Sha1	May	Sha	5	SK_May
SKSha1Nov	SK	1	Sha1	Nov	Sha	11	SK_Nov
SKSha2Aug	SK	1	Sha2	Aug	Sha	8	SK_Aug
SKSha2Feb	SK	1	Sha2	Feb	Sha	2	SK_Feb
SKSha2May	SK	1	Sha2	May	Sha	5	SK_May
SKSha2Nov	SK	1	Sha2	Nov	Sha	11	SK_Nov
SKSha3Aug	SK	1	Sha3	Aug	Sha	8	SK_Aug
SKSha3Feb	SK	1	Sha3	Feb	Sha	2	SK_Feb
SKSha3May	SK	1	Sha3	May	Sha	5	SK_May
SKSha3Nov	SK	1	Sha3	Nov	Sha	11	SK_Nov
